Pitch (MIDI);Time (s);Intensity;Time Diff (s);Intensity_change;Pitch_change_umbrale
50;0;0.0807189;;;
55;3.090442657;0.20265895;3.090442657;2.510675419;NEW PITCH
55;3.110422611;0.28375453;0.019979954;1.400157928;SAME PITCH
55;3.130405903;0.2698287;0.019983292;0.950923026;SAME PITCH
55;3.160394907;0.24094777;0.029989004;0.892965674;SAME PITCH
55;3.180997849;0.18194295;0.020602942;0.755113661;SAME PITCH
55;3.200243235;0.16960502;0.019245386;0.932187855;SAME PITCH
55;3.230685949;0.12756813;0.030442715;0.75214833;SAME PITCH
55;3.249877691;0.09545268;0.019191742;0.748248696;SAME PITCH
55;3.270462275;0.062484846;0.020584583;0.654615939;SAME PITCH
64;3.990475655;0.24199814;0.72001338;3.872909307;NEW PITCH
64;4.018704414;0.30809578;0.02822876;1.27313292;SAME PITCH
64;4.040375471;0.27079874;0.021671057;0.878943384;SAME PITCH
64;4.060327053;0.27584904;0.019951582;1.018649697;SAME PITCH
64;4.090633869;0.30790272;0.030306816;1.116200089;SAME PITCH
64;4.110296011;0.30471554;0.019662142;0.989648759;SAME PITCH
64;4.130411148;0.21956782;0.020115137;0.720566511;SAME PITCH
64;4.14925456;0.14836276;0.018843412;0.675703526;SAME PITCH
64;4.17989397;0.10452473;0.03063941;0.704521358;SAME PITCH
64;4.200481176;0.07883978;0.020587206;0.754269123;SAME PITCH
64;4.220106125;0.05352046;0.019624949;0.678850949;SAME PITCH
62;4.690453768;0.076228924;0.470347643;1.424295068;SAME PITCH
62;4.713133574;0.07503721;0.022679806;0.984366655;SAME PITCH
60;5.339976549;0.06872032;0.626842976;0.915816545;SAME PITCH
60;5.360155582;0.098087795;0.020179033;1.427347779;SAME PITCH
60;5.389926195;0.1240537;0.029770613;1.264721036;SAME PITCH
60;5.410011053;0.12826885;0.020084858;1.033978462;SAME PITCH
60;5.430219173;0.12742196;0.02020812;0.993397534;SAME PITCH
60;5.46022296;0.11645547;0.030003786;0.913935661;SAME PITCH
60;5.480369091;0.100440964;0.020146132;0.862483859;SAME PITCH
60;5.500376463;0.0835621;0.020007372;0.831952393;SAME PITCH
60;5.51994586;0.066779085;0.019569397;0.799155176;SAME PITCH
60;5.550222635;0.05555582;0.030276775;0.831934452;SAME PITCH
55;6.502071857;0.126198;0.951849222;2.27155304;NEW PITCH
55;6.520500898;0.2628533;0.018429041;2.082864285;NEW PITCH
55;6.550670624;0.23757249;0.030169725;0.903821647;SAME PITCH
55;6.570553064;0.18993342;0.019882441;0.79947561;SAME PITCH
55;6.590070724;0.16269828;0.01951766;0.85660696;SAME PITCH
55;6.6207304;0.15256058;0.030659676;0.937690139;SAME PITCH
55;6.640233755;0.13702944;0.019503355;0.898196936;SAME PITCH
55;6.66045332;0.12178005;0.020219564;0.888714552;SAME PITCH
55;6.690481424;0.09627699;0.030028105;0.790580988;SAME PITCH
55;6.710339785;0.082235;0.01985836;0.854150116;SAME PITCH
55;6.730323792;0.07231181;0.019984007;0.879331291;SAME PITCH
55;6.760469675;0.061257757;0.030145884;0.847133517;SAME PITCH
55;8.261328459;0.12699991;1.500858784;2.073205471;NEW PITCH
55;8.290380001;0.22913638;0.029051542;1.80422461;SAME PITCH
55;8.310213089;0.18944328;0.019833088;0.826770842;SAME PITCH
55;8.330193043;0.15193422;0.019979954;0.802003801;SAME PITCH
55;8.360253096;0.11051098;0.030060053;0.727360725;SAME PITCH
55;8.380254507;0.0877236;0.020001411;0.793799818;SAME PITCH
55;8.400141716;0.06999452;0.019887209;0.797898352;SAME PITCH
55;8.430018902;0.06066588;0.029877186;0.866723299;SAME PITCH
55;8.450546741;0.0518179;0.02052784;0.854152322;SAME PITCH
55;8.937788248;0.054496527;0.487241507;1.051693082;SAME PITCH
55;8.960215807;0.06354228;0.022427559;1.165987611;SAME PITCH
55;8.980303049;0.053351462;0.020087242;0.839621484;SAME PITCH
64;9.570300102;0.10408629;0.589997053;1.950954795;SAME PITCH
64;9.58987093;0.2669861;0.019570827;2.565045834;NEW PITCH
64;9.613003492;0.31533515;0.023132563;1.181092024;SAME PITCH
64;9.632744551;0.31208265;0.019741058;0.989685535;SAME PITCH
64;9.662242413;0.28795475;0.029497862;0.922687471;SAME PITCH
64;9.680602312;0.28717175;0.0183599;0.997280836;SAME PITCH
64;9.70228076;0.26625788;0.021678448;0.927172959;SAME PITCH
64;9.732259035;0.19179869;0.029978275;0.720349312;SAME PITCH
64;9.752276897;0.14837357;0.020017862;0.773590147;SAME PITCH
64;9.772586584;0.1165775;0.020309687;0.785702586;SAME PITCH
64;9.797873259;0.091950186;0.025286674;0.788747311;SAME PITCH
64;9.820644617;0.065815635;0.022771358;0.715774894;SAME PITCH
62;10.28986239;0.077577785;0.469217777;1.17871356;SAME PITCH
62;10.3100152;0.11503355;0.020152807;1.482815623;SAME PITCH
62;10.33029938;0.08432165;0.020284176;0.733017862;SAME PITCH
62;10.35053945;0.054163214;0.020240068;0.642340541;SAME PITCH
62;10.38006115;0.05486055;0.029521704;1.012874722;SAME PITCH
62;10.39989829;0.059690863;0.019837141;1.088047147;SAME PITCH
62;10.42047381;0.061597474;0.020575523;1.031941414;SAME PITCH
62;10.45089364;0.05129426;0.030419827;0.832733154;SAME PITCH
60;10.96000838;0.058907337;0.509114742;1.148419738;SAME PITCH
60;10.98010397;0.1313077;0.020095587;2.229055166;NEW PITCH
60;11.00015593;0.13711727;0.020051956;1.044243813;SAME PITCH
60;11.02812457;0.1384684;0.027968645;1.00985384;SAME PITCH
60;11.05038428;0.14319654;0.022259712;1.034145951;SAME PITCH
60;11.07061267;0.12626946;0.020228386;0.881791294;SAME PITCH
60;11.10068393;0.117975436;0.030071259;0.934314907;SAME PITCH
60;11.1203649;0.10446733;0.019680977;0.885500729;SAME PITCH
60;11.14036894;0.08381904;0.020004034;0.802346885;SAME PITCH
60;11.17046714;0.0684954;0.0300982;0.817181885;SAME PITCH
60;11.1904633;0.059827365;0.019996166;0.873450816;SAME PITCH
57;11.70001388;0.08271684;0.509550571;1.382591963;SAME PITCH
57;11.72219706;0.109076925;0.02218318;1.318678617;SAME PITCH
57;11.75169659;0.13238509;0.029499531;1.213685632;SAME PITCH
57;11.77161503;0.12985803;0.019918442;0.980911314;SAME PITCH
57;11.79030108;0.1298922;0.018686056;1.000263095;SAME PITCH
57;11.82038546;0.116079755;0.030084372;0.893662214;SAME PITCH
57;11.83988094;0.10587753;0.019495487;0.912110269;SAME PITCH
57;11.860569;0.09586792;0.020688057;0.905460417;SAME PITCH
57;11.89147687;0.09000063;0.030907869;0.938798189;SAME PITCH
57;11.91006637;0.080325335;0.018589497;0.89249748;SAME PITCH
57;11.9300518;0.06883266;0.019985437;0.856923401;SAME PITCH
57;11.96053028;0.057383034;0.030478477;0.833660007;SAME PITCH
